Sales_ID,Customer_ID,Material Number,Sales Quantity,Sales Value,Sales Org Region,Credit_ID
fea71c81-7c52,2150435,015-VERISURE-MI,6,3084,DE,9d123f49-70bc
6577557e-32be,231149,015-VERISURE-MI,8,4112,SC,c4fe46da-bd91
7331b70a-80fd,9750830,010-VELOCITY-01,17,4148,DC,d7577597-328d
4b69c925-e556,7299090,017-EVOTECH-01,3,2766,OR,ca6783f6-8fd3
2f4e6dce-78aa,926023,012-BIOTRACE-MINI,18,2448,AR,fe4abf41-f40f
9250d1bf-77b5,6299407,019-CIDEX-01,3,1986,KS,ac8d096e-dd04
2b17982e-9d6e,2870208,015-VERISURE-MI,17,8738,OH,e6680a37-6b85
66ed0307-4091,3066345,004-APTITR-01,7,3003,IN,23de4bd1-94bd
cd8cb393-f46c,1805014,017-EVOTECH-01,20,18440,NY,d8887ab9-0fd2
384f333b-3e11,9138437,021-CIDEZYME-01,19,1995,KS,25c52cb6-659b
a0547e73-023c,7399886,004-APTITR-01,17,7293,VT,9bfc51c5-e821
74fd1701-aa07,5692767,012-BIOTRACE-MINI,20,2720,AR,bc07006d-0b51
db52f156-5650,1651994,018-ENZOL-01,19,18050,WA,e11bac6c-44f6
3fd2ed30-f8fb,3844402,015-VERISURE-MI,8,4112,MI,2a9b5698-2704
f4dacd4a-7d4d,8160678,010-VELOCITY-01,8,1952,WY,9289be1e-9773
af1ef69e-3db4,7117281,021-CIDEZYME-01,3,315,ID,327e762b-4d09
8f99ca0c-e8ef,4029285,011-BIOTRACE-PRO,6,4464,SD,3dc9a4f0-a701
8e732a54-5dfb,7903106,019-CIDEX-01,20,13240,UT,2947103a-b406
c4dc29bf-e643,4404353,008-CASSETTE-01,13,10205,MO,45f8ad6c-490b
feb5f39a-9aa3,9244209,016-AEROFLEX-01,11,4444,NE,9eaa22ae-87b4
feefad7d-ca49,6664799,013-SEALSURE-01,16,2368,WA,026cc264-1e72
2c3ac24c-4e0c,7540028,001-100NX-01,13,10634,UT,55e38d30-8b2f
fd9dfa47-29b2,1692492,007-TYVEK-01,7,3017,NE,549b816c-2fe7
732dd728-3fea,9044961,003-100S-01,1,784,MA,525f6d90-f041
e31779ba-feda,1218351,016-AEROFLEX-01,16,6464,TN,fa2bd56c-92b9
fb17b63b-61e5,3855253,002-NX-01,8,4840,NH,b9480a0c-3f79
a1005127-3870,344863,007-TYVEK-01,2,862,MS,8315daea-689f
b890be13-ebc5,1881627,018-ENZOL-01,5,4750,MD,4895fada-0a4e
244361a2-7d7e,1887599,005-APTITRH-01,15,195,MA,a35d37a9-0acc
e12e1017-71fa,4226303,021-CIDEZYME-01,4,420,AK,5bd366a9-ab91
e14d5658-eac8,5494075,020-CIDEX-TS-01,14,224,MT,d948646c-1016
6a60debc-edc0,1758436,015-VERISURE-MI,3,1542,UT,a62cb8f5-224a
44c44e8b-de77,4044862,007-TYVEK-01,13,5603,NM,6317c1c0-3473
0aca7f44-0bff,8952433,011-BIOTRACE-PRO,3,2232,IL,acdd2767-1953
fe3bf824-ef3c,4044862,003-100S-01,10,7840,WY,6317c1c0-3473
a5fbdf02-3b04,1028435,016-AEROFLEX-01,13,5252,NJ,0cd725a0-f40b
3e29a9b7-ab6e,1865071,017-EVOTECH-01,19,17518,DE,55d61cf8-5c22
0ea9ca82-1c21,3743344,008-CASSETTE-01,15,11775,KY,faf7f3a0-57f0
ca2e43ef-97d7,2820866,015-VERISURE-MI,11,5654,CA,a7cfdb29-5a8c
e996800f-0c1b,4156657,021-CIDEZYME-01,2,210,CO,eab9ee60-b975
4e1d4d32-2c1f,7089279,010-VELOCITY-01,6,1464,MA,d859f782-a72d
4fa2033b-1685,9684670,012-BIOTRACE-MINI,3,408,SC,408b2eb4-8571
aacd308e-cf4d,6546477,017-EVOTECH-01,19,17518,CA,dfaa530d-c549
4e4097e8-9cf9,3254311,018-ENZOL-01,10,9500,WI,3626a77e-f3d8
e45ff1e4-a95d,3604499,003-100S-01,20,15680,VA,856e56c9-4ea5
23e3a168-df5d,1154068,021-CIDEZYME-01,3,315,WV,0dae02e1-c347
07cf4983-a59b,5776980,012-BIOTRACE-MINI,10,1360,CT,d390fc91-828e
25baf2fe-0101,7540028,013-SEALSURE-01,18,2664,NC,55e38d30-8b2f
9e9b9563-f5ad,9730546,013-SEALSURE-01,3,444,GA,b6ba9cfd-210d
b46bc030-7d7a,9999620,005-APTITRH-01,20,260,VA,6a16466b-68ed
01352dc0-7857,9541282,019-CIDEX-01,5,3310,WY,11a64ecb-f4c6
11834059-6c7a,5417822,008-CASSETTE-01,11,8635,RI,deb8bf73-ad5b
e1a24edb-cfd6,4274264,015-VERISURE-MI,11,5654,WV,12a8ddf9-2a99
6a268722-4ed3,9288693,021-CIDEZYME-01,9,945,AL,ef48952d-81c7
66245b91-2ae0,2433083,002-NX-01,4,2420,MA,74c5fdd1-4829
65e90ca8-8444,7096297,008-CASSETTE-01,13,10205,NH,b39f964f-7d2b
17d76458-e738,6588159,015-VERISURE-MI,19,9766,DE,5cc33c12-101d
7035e10c-716c,9065514,012-BIOTRACE-MINI,10,1360,NV,e25ba488-cd45
0456dd61-f75b,3436750,020-CIDEX-TS-01,12,192,NM,a9eab57b-618f
8decc401-c830,8909505,020-CIDEX-TS-01,4,64,CA,71c89583-6e94
e1a6a8cb-f5dd,6884651,018-ENZOL-01,20,19000,IN,4ee9b62d-1dd0
27db21fe-38be,8780280,003-100S-01,8,6272,IA,fe7309b9-6081
249bb5b5-a2b9,7604090,007-TYVEK-01,2,862,OR,9575094d-96ac
c51f1266-bdb7,3378992,016-AEROFLEX-01,16,6464,DE,501c1b89-1417
623be054-3e82,2767285,016-AEROFLEX-01,17,6868,AK,c4465b62-c707
fe493eab-bf66,7613293,020-CIDEX-TS-01,9,144,OK,8aa299f4-86e5
917a159e-6c04,3563397,014-VERISURE-BD,20,15880,MT,76af094f-176a
33594661-472b,3835723,019-CIDEX-01,17,11254,WA,02864550-a5f9
5e0c9e5e-d7f7,5508273,004-APTITR-01,6,2574,WV,10336b46-82d1
62dbc568-2ee7,4421026,016-AEROFLEX-01,19,7676,AZ,6cfc23bd-14fa
