Shipping_ID,Shipment Date,Plant_ID,Sales_ID,Shipping Quantity,Shipping Method,Delivery Status,Tracking Number
4f8f7720-c6bd,2023-12-15,003B,847fd757-7d67,5.0,Air,Pending,3d312991-369e-49c7
7fe2165f-be5e,2023-09-12,006P,8da9ccb5-b186,1.0,Air,In Transit,266fb1e8-098a-4d76
8c8377db-9bcf,2024-01-17,005M,ddad9e8a-73d6,5.0,Air,Pending,7ce496e1-4046-4c8b
ae318e00-c29e,2023-10-30,001P,db80f283-cfbb,0.0,Sea,Delayed,ee830485-2488-421b
9da0198e-a711,2024-01-17,003C,217ceb34-5630,9.0,Sea,In Transit,4a65d4f0-ad9e-49e1
549af271-8311,2024-01-31,001P,878f9123-d0f4,3.0,Land,Delivered,e9b043f4-8aba-4c12
971b4ad3-d6f3,2023-10-12,003B,0cdb30f3-76ec,0.0,Air,Delayed,f47c0c63-69ba-462d
43a2ecca-410a,2023-10-23,002P,f87b45d4-2584,1.0,Land,Delivered,a4891443-3308-459f
000cfddd-df21,2023-06-09,001P,e4dcc9ec-e474,0.0,Sea,Delayed,1e25b625-8f4c-451b
729664b3-54a5,2024-04-27,001E,868679a1-d5fd,7.0,Air,In Transit,9661f8df-81ea-4e24
904a9e42-c413,2024-03-15,001C,f626ad88-a01b,11.0,Air,In Transit,e73b9f0d-d868-45a8
3f348efe-3e4a,2023-10-04,003B,e9a4f6ed-f383,5.0,Land,Delivered,b3fba8f7-80ac-4ba2
02de2070-21fc,2023-06-24,003C,ef0c5f1e-5d44,1.0,Sea,In Transit,a9cc1b43-cb7a-4acc
0edd9eb2-62cb,2024-02-23,003B,441f2562-a323,10.0,Air,Pending,f42f4dbd-807a-4e23
e5e0bf77-fb6e,2023-09-03,004U,56139b8d-740d,0.0,Sea,Delayed,b69b7f0d-b576-486e
48c61f46-6ed8,2024-04-20,004U,619dff29-3cc4,0.0,Air,Delayed,d56fb325-0be5-4577
7a45254c-0f0c,2023-07-16,003C,1a78cf68-cd01,2.0,Land,Delivered,872ff628-285e-4a53
